date,average_score
07/01/2020,0.1292307692307693
07/02/2020,0.10733200000000002
07/03/2020,0.13260857142857144
07/04/2020,0.09689130434782608
07/05/2020,0.09928301886792448
07/06/2020,0.09148461538461534
07/07/2020,0.09923717948717943
07/08/2020,0.10739239130434787
07/09/2020,0.08152685185185186
07/10/2020,0.07398048780487801
07/11/2020,0.0723231884057971
07/12/2020,0.07726644295302011
07/13/2020,0.08989202453987724
07/14/2020,0.08971169590643266
07/15/2020,0.0965661111111111
07/16/2020,0.09756402116402112
07/17/2020,0.09843857868020306
07/18/2020,0.10010396039603962
07/19/2020,0.10174347826086955
07/20/2020,0.09703333333333332
07/21/2020,0.08225913043478258
07/22/2020,0.07837366255144027
07/23/2020,0.07273280632411061
07/24/2020,0.0752101503759398
07/25/2020,0.07411612903225802
07/26/2020,0.07422326388888884
07/27/2020,0.0804026666666666
07/28/2020,0.08253089171974515
07/29/2020,0.0747040247678018
07/30/2020,0.08255565476190473
07/31/2020,0.08683515850144087
08/01/2020,0.08734677871148455
08/02/2020,0.08013035230352301
08/03/2020,0.08533501326259946
08/04/2020,0.08974072164948452
08/05/2020,0.09486256281407035
08/06/2020,0.09022189781021896
08/07/2020,0.10148865248226942
08/08/2020,0.0972882217090068
08/09/2020,0.10189369369369362
08/10/2020,0.10229227373068427
08/11/2020,0.10259718004338392
08/12/2020,0.10782432432432434
